age, workclass, fnlwgt, eductation, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
25, Private, 237065, Some-college, 10, Divorced, Other-service, Own-child, Black, Male, 0, 0, 38, United-States, <=50K
51, Local-gov, 108435, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 80, United-States, >50K
32, Private, 93213, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 62, United-States, <=50K
51, Self-emp-inc, 231230, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 25, United-States, <=50K
42, Private, 386175, Some-college, 10, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
39, Private, 128392, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1887, 40, United-States, >50K
24, Private, 223515, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
52, Private, 208630, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 1741, 38, United-States, <=50K
58, ?, 97969, 1st-4th, 2, Married-spouse-absent, ?, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
43, Private, 174295, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, <=50K
31, Private, 60229, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 66095, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Federal-gov, 130057, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 60, United-States, >50K
61, Private, 179743, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2051, 20, United-States, <=50K
26, Private, 192022, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
46, Private, 45288, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
62, ?, 178764, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
50, Private, 99476, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
18, Private, 41973, 11th, 7, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 5, United-States, <=50K
23, Private, 162228, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
21, Private, 211968, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 1762, 28, United-States, <=50K
46, Private, 211226, Assoc-acdm, 12, Married-civ-spouse, Transport-moving, Husband, Other, Male, 0, 0, 36, United-States, <=50K
38, Private, 33397, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
53, Private, 120839, 12th, 8, Divorced, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States, <=50K
53, Private, 36327, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
50, Private, 139703, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 107827, HS-grad, 9, Never-married, Other-service, Unmarried, White, Male, 0, 0, 25, United-States, <=50K
46, Local-gov, 140219, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 8614, 0, 55, United-States, >50K
44, Local-gov, 203761, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Local-gov, 114719, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
20, Private, 344394, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
35, Private, 195516, 7th-8th, 4, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, Mexico, <=50K
40, State-gov, 31627, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 20, United-States, <=50K
70, Private, 174032, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
57, Private, 226875, 7th-8th, 4, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
40, Private, 566537, Preschool, 1, Married-civ-spouse, Other-service, Husband, White, Male, 0, 1672, 40, Mexico, <=50K
18, Private, 36162, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 5, United-States, <=50K
45, Self-emp-not-inc, 31478, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 2829, 0, 60, United-States, <=50K
52, Private, 294991, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
24, ?, 108495, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
42, Self-emp-inc, 161532, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 60, United-States, <=50K
28, Local-gov, 332249, HS-grad, 9, Separated, Transport-moving, Own-child, White, Male, 0, 0, 45, United-States, <=50K
32, Private, 268147, Assoc-voc, 11, Never-married, Tech-support, Unmarried, White, Female, 0, 0, 60, United-States, <=50K
56, Federal-gov, 317847, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 52028, 1st-4th, 2, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 40, Vietnam, <=50K
20, Private, 184045, Some-college, 10, Never-married, Sales, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
32, Private, 206609, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
59, Private, 152968, Some-college, 10, Separated, Adm-clerical, Other-relative, White, Male, 3325, 0, 40, United-States, <=50K
21, Private, 213015, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, Black, Male, 2176, 0, 40, United-States, <=50K
32, Private, 313835, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
49, Private, 66385, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 5013, 0, 40, United-States, <=50K
22, Private, 205940, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 1055, 0, 30, United-States, <=50K
51, Self-emp-inc, 260938, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 60567, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3411, 0, 40, United-States, <=50K
23, Private, 335067, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
34, Private, 331126, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Male, 0, 0, 30, United-States, <=50K
53, Private, 156612, 12th, 8, Divorced, Transport-moving, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 188436, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, <=50K
60, Private, 227468, Some-college, 10, Widowed, Protective-serv, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 183580, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 38, United-States, <=50K
57, Self-emp-not-inc, 50990, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K
59, Private, 384246, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
26, ?, 375313, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
30, Private, 176410, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Own-child, White, Female, 7298, 0, 16, United-States, >50K
49, Private, 93639, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 43, United-States, <=50K
45, Private, 30289, 12th, 8, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-inc, 124950, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
37, Self-emp-not-inc, 126675, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, >50K
21, Private, 145964, 12th, 8, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, State-gov, 345712, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, ?, 97474, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K
37, Private, 180342, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
19, Private, 167087, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
65, ?, 192825, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 25, United-States, <=50K
30, Private, 318749, Assoc-voc, 11, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 35, Germany, <=50K
27, ?, 147638, Masters, 14, Never-married, ?, Not-in-family, Other, Female, 0, 0, 40, Japan, <=50K
59, Federal-gov, 293971, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 229566, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 60, United-States, >50K
25, Private, 242464, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 111067, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 80, United-States, >50K
21, ?, 155697, 9th, 5, Never-married, ?, Own-child, White, Male, 0, 0, 42, United-States, <=50K
49, Local-gov, 106554, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, >50K
49, Private, 23776, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, ?, 43909, HS-grad, 9, Divorced, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
48, Private, 105808, 9th, 5, Widowed, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States, >50K
42, Private, 169995, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
53, Private, 141388, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-not-inc, 241431, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
21, ?, 78374, HS-grad, 9, Never-married, ?, Other-relative, Asian-Pac-Islander, Female, 0, 0, 24, United-States, <=50K
54, Self-emp-not-inc, 158948, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 15, United-States, <=50K
66, Private, 115498, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 55, ?, >50K
34, Private, 272411, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 30529, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 40, United-States, >50K
62, ?, 263374, Assoc-voc, 11, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, Canada, <=50K
30, Private, 190228, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 126060, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 391192, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 214069, HS-grad, 9, Separated, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 170871, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 7298, 0, 60, United-States, >50K
55, Private, 118993, Some-college, 10, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 10, United-States, <=50K
26, Private, 245880, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 174794, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 56, Germany, <=50K
61, Local-gov, 153408, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
34, ?, 330301, 7th-8th, 4, Separated, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
26, Private, 385278, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 60, United-States, <=50K
44, Federal-gov, 38434, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
45, Self-emp-not-inc, 111679, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
55, Private, 168956, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 86143, Some-college, 10, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male, 0, 0, 30, United-States, <=50K
48, Private, 99835, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 263561, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
44, Private, 118536, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, <=50K
32, Self-emp-inc, 209691, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, Canada, <=50K
54, Private, 123374, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 137225, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Private, 119359, HS-grad, 9, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female, 0, 0, 10, China, >50K
56, Private, 134153, 10th, 6, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K
